name	english	chinese	french
id	0	1	2
STR_QR_CONNECT_AP	First scan QR code\nSet AP network	1.请扫码连接本\n设备	Veuillez balayer le code \n pour connecter cet appareil
STR_QR_SCAN_WIFI	Second scan QR code\nSet WiFi network	2.请扫码联网	Veuillez balayer \n le code réseau
STR_QR_CONFIG	Scan QR code\nSet device parameters	请扫码配置参数	s'il vous plaît balayez les \n paramètres de configuration du code
STR_WIFI_SCANNING	WiFi is scanning ...	WiFi正在扫描 ...	Le WiFi est scanné...
STR_WIFI_CONNECTING	WiFi is connecting ...	WiFi连接中 ...	Connexion WiFi en cours...
STR_MIRA_CONNECTING	Miracast is connecting ...	安卓同屏连接中 ...	Connexion android dans le même écran...
STR_MIRA_CONNECT_OK	Miracast connect OK.	安卓同屏连接成功	Connexion android même écran avec succès
STR_AIR_PLAY_MUSIC	Aircast is playing music	苹果同屏播放音乐	Musique sur le même écran d’apple
STR_INSERT_ANDROID_OR_APPLE	Please plug in android or apple device!	请插入苹果或者安卓设备!	Veuillez insérer un appareil apple ou android!
STR_REINSERT_ANDROID_OR_APPLE	Please pull out and plug in android or apple device!	请拔出，再插入苹果或者安卓设备!	Veuillez débrancher et rebrancher votre appareil apple ou android!
STR_PICTURE_MODE	Image mode	图像模式	Mode Image
STR_CONSTRAST	Contrast	对比度	contraste
STR_HUE	Hue	色调	ton
STR_BRIGHTNESS	Brightness	亮度	luminosité
STR_COLOR	Color	颜色	couleur
STR_SHARPNESS	Sharpness	清晰度	clarté
STR_COLOR_TEMP	Color temperature	色温	Temp de couleur
STR_SOUND_MODE	Sound mode	声音模式	Sound Mode
STR_TREBLE	Treble	高音	Tweeter
STR_BASS	Bass	低音	Bass
STR_BALANCE	Balance	平衡	Balance
STR_BT_SETTING	BT model	蓝牙模式	Bluetooth mode
STR_SEARCH_BT	Search bluetooth	搜索蓝牙	Rechercher bluetooth
STR_BT_DEVICE	BT device	蓝牙设备	Appareil bluetooth
STR_BT_MY_DEV	My device	我的设备	Mon appareil
STR_BT_OTHER_DEV	Other device	其它设备	Autre équipement
STR_NO_BT	No device	无设备	No Device
STR_BT_CONN	Connected	已连接	Connecté
STR_BT_DISCONN	Disconnected	未连接	Non connecté
STR_BT_SAVED	Saved	已保存	Enregistré
STR_BT_MAKE_DISCONN	Disconnect	断开	Disconnect
STR_BT_MAKE_CONN	Connect	连接	Connect
STR_WIFI_CONNING	Connecting	连接中	connecté
STR_WIFI_SEARCHING	Searching	搜索中	Rechercher
STR_WIFI_NO_DEVICE	No wifi device	无网络设备	pas de \n périphérique réseau
STR_WIFI_PWD_NULL	Password cannot be null	密码不能为空	mot de passe ne peut pas être vide
STR_WIFI_CONN_SUCCESS	Connection success!	连接成功！	Connexion réussie!
STR_WIFI_CONN_FAILED	Connection failed!	连接失败！	échec de la connexion!
STR_WIFI_RE_ENTER_PWD	Re-enter the password?	重输入密码？	Retaper le mot de passe?
STR_PROMPT_YES	Yes	是	Yes
STR_PROMPT_NO	No	否	NO
STR_ENTER_WORD	Enter the password for 8 to 32 bits	请输入8到32位密码	Entrez le mot de passe de 8 à 32 chiffres
STR_WIFI_SSID_NULL	SSID cannot be null	SSID 不能为空	SSID ne peut pas être vide
STR_WIFI_SSID_TOO_LONG	SSID should be less than 64 bits	SSID应该小于64位	le SSID doit être inférieur à 64 bits
STR_WIFI_CANCEL	Cancel	取消	Annuler
STR_BT_DELETE	Delete	忽略	Ignorer
STR_OSD_LANG_TITLE	OSD lang	OSD语言	OSD langue
STR_OSD_LANG	OSD lang	语言设置	OSD langue
STR_FLIP	Flip	投屏模式	Feuilleter
STR_ASPECT_RATIO	Aspect ratio	画面比例	Ratio d'image
STR_RESTORE_FACTORY_DEFAULT	Factory reset	恢复出厂设置	Retour à l'usine
STR_UPGRADE	Software upgrade	软件升级	Escaladent
STR_UPGRADE_NOT_POWER_OFF	Upgrading please do not\npower Off	正在升级，请勿断电	Mise à niveau, ne \npas éteindre
STR_UPGRADE_DOWNLOADING	Download...	下载中...	Téléchargement en cours...
STR_UPGRADEING	Upgrate...	升级中...	En cours de mise à niveau
STR_AUTO_SLEEP	Auto sleep	自动休眠	Auto sommeil
STR_OSD_TIMER	OSD timer	菜单显示时间	OSD temps
STR_UPGRADE_NO_DEV	Please insert USB!	请插入USB！	s'il vous plaît insérer USB!
